,0
MRPS26,-0.04281656671838458
CNOT10,0.0010848014692442028
FEM1B,-0.13136417971369327
GTF2F2,-0.07319533554211874
OR51E1,-0.16415931623850988
HKDC1,-0.09104028701971448
IRX5,-0.004341730305090665
TTC8,-0.023382274039108253
CLEC4D,-0.03648041218950176
CLEC4E,-0.14452341323818924
GNG3,-0.03991072715898024
ADRB3,-0.08769551267268151
UBTF,0.050473899114042216
CD99L2,-0.22098228680245985
MYBL1,-0.11614518101921373
CDKN2AIP,-0.10467437947122682
NCAM1,-0.23132092281168623
PACS1,-0.04678229103645786
IFT57,-0.08888263372087907
MYLK,-0.2986398604244371
KCNG4,0.1527903941888977
CAPN10,-0.04427142515678805
YBX2,-0.10907687116252278
GIGYF1,-0.09526967268579822
ZC3HAV1,-0.07873721400747871
CSDE1,-0.1909495589169472
MEGF11,-0.06507965042284962
GPBP1L1,-0.05921125112127833
UGGT2,-0.09558592995757391
USP4,-0.09468099086635813
PDK1,-0.1275955862253035
LMO1,-0.1119860262082485
IQUB,-0.1605500468827845
BMP15,0.724459124777294
MLXIP,-0.16848443937276855
AKT3,-0.21072831505235973
ATP11C,-0.15786008671898447
LTBP3,-0.10092232263333448
IDH2,-0.05340040547997141
THADA,-0.06175991378714258
KCNT1,-0.13210402314484032
PAK6,-0.05651251900132688
IMPA1,-0.08785138514327748
SDCCAG8,-0.062147656665036265
SLC25A18,-0.22076605008254493
PIGM,0.02278063365367588
CYB5B,-0.13472519543383327
MARK4,-0.03279277787899515
ARVCF,-0.09723447212898159
ALG8,-0.13400669642429047
MAPK8,-0.08848722677644547
PRMT5,-0.05357839815993503
SNX22,-0.12114823789951508
IVD,-0.056945735786234165
BNC2,-0.14976950721939697
SSRP1,-0.07241228905681346
RANBP3,-0.00452346567347175
STIM1,-0.1500235464030849
ZNF202,-0.13104643411440592
RNF170,-0.14193047793051386
PGM2,-0.04240174322049415
RPS6KA3,-0.22297984192679568
GPR45,-0.04828632317784679
CFP,-0.18634303027893817
KRTAP5-6,1.0429140763996305
CIB3,-0.07826689409563604
CPXM2,-0.23347149842805595
ZNF30,-0.03296567724950173
GIPC2,-0.31761163052180397
ATP10B,-0.1389317583940614
ASCC2,-0.06877239856214157
SDHA,-0.08972360416424276
ESX1,-0.05407404968213987
XKR6,-0.1616825883174644
L3MBTL3,-0.12900394803421725
RLIM,-0.0359054399198261
NPVF,0.0
SPATA5L1,-0.05071768286717579
NELL2,-0.12085235836292028
LDHAL6B,-0.032778849369953386
PTN,-0.17847461540432935
CYP26B1,-0.2315046358845906
CLUL1,-0.1272268685603382
EXTL2,-0.16856672636987363
ELK1,-0.014656260024215188
STEAP3,-0.12545729073199435
ECHDC2,-0.17255268651444838
BLNK,0.012582992263003002
LRRC55,-0.10292501438035381
AFAP1L1,-0.2161427776356016
KANK1,-0.27885768076652206
MPZL3,-0.13790242938884978
CCDC136,-0.24467475185483678
CRY2,-0.23067709662320474
ELF2,-0.09160178320003744
GDE1,-0.011367188790776287
MYBPHL,-0.008425686815324062
ACSM4,0.9331836204411297
TNKS,-0.11840098768677486
FUCA1,-0.058789220080112004
NPBWR2,0.0
CCDC102B,-0.12698164903504897
FTMT,-0.04657073505913446
BEND4,-0.10813918285822703
TG,-0.09867400337375298
CCDC122,-0.13516859693423666
AGTPBP1,-0.16667905476111583
OSBPL5,-0.024227983867230303
NPLOC4,-0.05508500803821179
NEBL,-0.04672725660459186
FAIM2,-0.14211119639816888
OR10Z1,0.0
ADAM15,-0.03702566369924084
SLC2A6,-0.07871473322202098
G6PC3,-0.02876819496426821
CDK5R2,-0.07976516706117547
CST1,-0.1078874582199252
DHX32,-0.040157627148021555
TNFSF11,-0.09408030587843834
LGR4,-0.23762498940096172
CMPK1,-0.15917475721567084
BRAF,-0.10736604078534204
MED13,-0.11875718147201497
PSMA8,-0.07090149367308758
DNAJB5,-0.08707373353726237
RHBDF1,-0.013370746119077608
CARD6,-0.250203960230611
IER3,-0.08335484111741237
IQSEC3,-0.2607413589092107
FAHD1,0.02677315091645518
GATAD1,-0.07696023107439585
NDUFA2,-0.0648326394151788
EHMT1,-0.009017457272559048
HAS1,-0.183698175782099
C1QA,-0.1335428204345359
SDR9C7,-0.028165221116945548
LANCL1,-0.14595497882003236
ZNF330,-0.14135252658752998
RIT1,-0.015225630435486505
RBP7,-0.268817530489262
ALK,-0.15446387481286344
GFOD2,-0.08869534634857927
NTN4,-0.1853790819651403
ZNF619,-0.0816358328609032
PLCXD3,-0.22574349735314242
EDNRA,-0.09617685518397111
BMP2,-0.23663908550528362
CRTAM,-0.12406820181927405
GUCA2B,0.0
TRPM5,-0.05749067705255943
PTK2B,-0.10119647572386017
KLHL34,-0.10267886098421178
TARSL2,-0.17555600862007373
SCAMP2,-0.006761311951401286
CPEB2,-0.10820745486022597
SDC4,-0.10202151249297836
CLCN5,-0.09416273780862819
NDN,-0.25998195086708337
ARFGAP1,-0.036707519521489956
